"sensor_id","created_at","co2","gas","humidity","pressure","temperature"
"bme688","1712241562000","","10454.1","40.24","986.68","26.69"
"bme688","1712241582000","","12911.04","39.94","986.61","26.46"
"bme688","1712241602000","","15051.74","42.27","986.64","26.67"
"bme688","1712241622000","","16662.33","39.72","986.62","26.51"
"bme688","1712241642000","","17952.31","39.54","986.53","26.37"
"bme688","1712241662000","","18923.71","39.73","986.53","26.26"
"bme688","1712241683000","","19637.93","39.91","986.61","26.15"
"bme688","1712241703000","","20176.54","39.79","986.55","26.06"
"bme688","1712241723000","","20908.2","39.76","986.58","25.98"
"bme688","1712241743000","","21262.46","39.89","986.58","25.93"
"bme688","1712241763000","","21739.13","40.37","986.58","25.88"
"bme688","1712241783000","","21872.86","40.35","986.6","25.84"
"bme688","1712241803000","","22401.12","40.44","986.59","25.8"
"bme688","1712241824000","","22808.27","40.31","986.56","25.77"
"bme688","1712241844000","","23607.53","40.42","986.61","25.75"
"bme688","1712241864000","","23845.01","40.56","986.63","25.73"
"bme688","1712241884000","","24033.04","40.67","986.6","25.7"
"bme688","1712241904000","","24320.73","40.69","986.6","25.69"
"bme688","1712241924000","","24516.38","40.7","986.7","25.68"
"bme688","1712241945000","","24615.38","40.71","986.69","25.66"
"bme688","1712241965000","","24844.72","40.65","986.7","25.65"
"bme688","1712241985000","","24902.72","40.72","986.6","25.64"
"bme688","1712242005000","","25167.13","40.77","986.59","25.63"
"bme688","1712242025000","","25286.45","40.83","986.62","25.63"
"bme688","1712242045000","","25346.54","40.87","986.57","25.62"
"bme688","1712242066000","","25513.26","40.91","986.59","25.61"
"bme688","1712242086000","","25543.8","40.93","986.69","25.61"
"bme688","1712242106000","","25744.17","40.94","986.6","25.6"
"bme688","1712242126000","","25775.27","40.94","986.56","25.59"
"bme688","1712242146000","","25837.71","40.95","986.59","25.6"
"bme688","1712242166000","","25979.3","40.91","986.68","25.6"
"bme688","1712242187000","","26138.45","40.9","986.63","25.59"
"bme688","1712242207000","","26218.76","40.96","986.63","25.59"
"bme688","1712242227000","","26299.57","40.92","986.68","25.58"
"bme688","1712242247000","","26283.37","40.82","986.62","25.58"
"bme688","1712242267000","","26627.83","40.8","986.59","25.58"
"bme688","1712242287000","","26446.28","40.88","986.59","25.58"
"bme688","1712242308000","","26644.46","40.95","986.58","25.57"
"bme688","1712242328000","","26727.92","40.93","986.58","25.57"
"bme688","1712242348000","","26845.64","40.89","986.63","25.57"
"bme688","1712242368000","","26930.36","40.83","986.55","25.57"
"bme688","1712242388000","","27015.62","40.87","986.6","25.57"
"bme688","1712242408000","","27015.62","40.98","986.56","25.56"
"bme688","1712242429000","","27257.24","41.02","986.54","25.57"
"bme688","1712242449000","","27327.07","41.01","986.56","25.56"
"bme688","1712242469000","","27274.66","41.01","986.57","25.57"
"bme688","1712242489000","","27153.16","40.96","986.58","25.56"
"bme688","1712242509000","","27344.58","40.98","986.59","25.57"
"bme688","1712242529000","","27450.14","40.91","986.58","25.56"
"bme688","1712242549000","","27450.14","40.91","986.58","25.56"
"bme688","1712242570000","","27556.51","40.94","986.55","25.56"
"bme688","1712242590000","","27503.22","41.08","986.58","25.56"
"bme688","1712242610000","","27663.71","41.04","986.49","25.56"
"bme688","1712242630000","","27699.63","41.11","986.55","25.56"
"bme688","1712242650000","","27844.25","41.12","986.57","25.55"
"bme688","1712242670000","","27735.64","41.11","986.55","25.55"
"bme688","1712242691000","","27935.4","41.13","986.55","25.55"
"bme688","1712242711000","","27862.43","41.16","986.59","25.55"
"bme688","1712242731000","","28082.49","41.18","986.55","25.56"
"bme688","1712242751000","","27935.4","41.21","986.49","25.55"
"bme688","1712242771000","","28138.05","41.23","986.51","25.55"
"bme688","1712242791000","","28082.49","41.24","986.49","25.55"
"bme688","1712242812000","","28362.51","41.26","986.49","25.55"
"bme688","1712242832000","","28064.02","41.27","986.51","25.54"
"bme688","1712242852000","","28119.51","41.28","986.45","25.54"
"bme688","1712242872000","","28306.06","41.3","986.46","25.55"
"bme688","1712242892000","","28306.06","41.29","986.5","25.54"
"bme688","1712242912000","","28419.18","41.28","986.52","25.55"
"bme688","1712242933000","","28533.21","41.26","986.47","25.54"
"bme688","1712242953000","","28514.15","41.26","986.53","25.54"
"bme688","1712242973000","","28686.69","41.26","986.52","25.54"
"bme688","1712242993000","","28400.27","41.29","986.46","25.53"
"bme688","1712243013000","","28648.16","41.31","986.34","25.54"
"bme688","1712243033000","","28514.15","41.28","986.44","25.54"
"bme688","1712243054000","","28590.57","41.27","986.43","25.53"
"bme688","1712243074000","","28783.45","41.17","986.54","25.53"
"bme688","1712243094000","","28822.34","41.25","986.52","25.53"
"bme688","1712243114000","","28939.63","41.32","986.43","25.53"
"bme688","1712243134000","","28920.02","41.35","986.46","25.53"
"bme688","1712243154000","","28880.87","41.29","986.43","25.53"
"bme688","1712243175000","","28880.87","41.27","986.57","25.53"
"bme688","1712243195000","","28880.87","41.29","986.46","25.53"
"bme688","1712243215000","","29038.11","41.32","986.5","25.52"
"bme688","1712243235000","","28920.02","41.34","986.51","25.53"
"bme688","1712243255000","","28978.95","41.36","986.49","25.52"
"bme688","1712243275000","","29137.26","41.32","986.51","25.53"
"bme688","1712243295000","","29177.11","41.26","986.56","25.53"
"bme688","1712243316000","","29297.32","41.26","986.47","25.52"
"bme688","1712243336000","","29317.45","41.23","986.47","25.52"
"bme688","1712243356000","","29297.32","41.24","986.52","25.52"
"bme688","1712243376000","","29177.11","41.24","986.52","25.52"
"bme688","1712243396000","","29297.32","41.21","986.44","25.52"
"bme688","1712243416000","","29337.61","41.21","986.52","25.52"
"bme688","1712243437000","","29418.53","41.25","986.58","25.52"
"bme688","1712243457000","","29277.22","41.23","986.54","25.51"
"bme688","1712243477000","","29277.22","41.22","986.56","25.51"
"bme688","1712243497000","","29237.09","41.22","986.56","25.52"
"bme688","1712243517000","","29277.22","41.21","986.48","25.51"
"bme688","1712243537000","","29217.07","41.22","986.56","25.51"
"bme688","1712243558000","","29337.61","41.21","986.52","25.52"
"scd41","1712241564000","1210","","40.53","","26.77"
"scd41","1712241584000","1174","","41.92","","26.49"
"scd41","1712241604000","1167","","43.3","","26.21"
"scd41","1712241625000","1166","","43.6","","26.06"
"scd41","1712241645000","1164","","43.89","","25.99"
"scd41","1712241665000","1165","","44.12","","25.94"
"scd41","1712241685000","1165","","44.13","","25.93"
"scd41","1712241705000","1165","","43.98","","25.95"
"scd41","1712241725000","1162","","43.63","","26"
"scd41","1712241745000","1161","","43.62","","26.07"
"scd41","1712241765000","1161","","43.56","","26.1"
"scd41","1712241785000","1161","","43.42","","26.16"
"scd41","1712241805000","1161","","43.27","","26.19"
"scd41","1712241825000","1161","","43.18","","26.23"
"scd41","1712241845000","1162","","43.02","","26.29"
"scd41","1712241865000","1162","","42.91","","26.33"
"scd41","1712241885000","1164","","42.92","","26.38"
"scd41","1712241905000","1164","","42.71","","26.39"
"scd41","1712241925000","1164","","42.62","","26.43"
"scd41","1712241945000","1165","","42.58","","26.48"
"scd41","1712241965000","1167","","42.4","","26.49"
"scd41","1712241985000","1168","","42.33","","26.52"
"scd41","1712242005000","1169","","42.18","","26.53"
"scd41","1712242025000","1170","","42.22","","26.57"
"scd41","1712242045000","1171","","42.25","","26.56"
"scd41","1712242065000","1172","","42.17","","26.6"
"scd41","1712242085000","1174","","42.15","","26.62"
"scd41","1712242105000","1175","","42.09","","26.6"
"scd41","1712242125000","1175","","42.04","","26.63"
"scd41","1712242145000","1176","","42.03","","26.64"
"scd41","1712242165000","1176","","42.02","","26.65"
"scd41","1712242185000","1176","","41.9","","26.65"
"scd41","1712242205000","1176","","41.82","","26.65"
"scd41","1712242225000","1177","","41.85","","26.64"
"scd41","1712242245000","1176","","41.81","","26.67"
"scd41","1712242265000","1175","","41.72","","26.67"
"scd41","1712242285000","1175","","41.71","","26.69"
"scd41","1712242305000","1176","","41.66","","26.71"
"scd41","1712242325000","1175","","41.67","","26.7"
"scd41","1712242345000","1176","","41.61","","26.69"
"scd41","1712242365000","1176","","41.61","","26.7"
"scd41","1712242385000","1176","","41.6","","26.69"
"scd41","1712242405000","1176","","41.63","","26.7"
"scd41","1712242425000","1175","","41.54","","26.72"
"scd41","1712242445000","1175","","41.53","","26.71"
"scd41","1712242465000","1174","","41.49","","26.73"
"scd41","1712242485000","1173","","41.46","","26.75"
"scd41","1712242505000","1173","","41.42","","26.74"
"scd41","1712242525000","1172","","41.38","","26.72"
"scd41","1712242545000","1173","","41.44","","26.73"
"scd41","1712242565000","1173","","41.41","","26.73"
"scd41","1712242585000","1172","","41.44","","26.74"
"scd41","1712242605000","1170","","41.48","","26.72"
"scd41","1712242625000","1170","","41.44","","26.76"
"scd41","1712242645000","1169","","41.41","","26.76"
"scd41","1712242665000","1170","","41.43","","26.76"
"scd41","1712242685000","1171","","41.46","","26.75"
"scd41","1712242705000","1172","","41.47","","26.75"
"scd41","1712242725000","1172","","41.42","","26.75"
"scd41","1712242745000","1172","","41.46","","26.76"
"scd41","1712242765000","1172","","41.45","","26.76"
"scd41","1712242785000","1173","","41.49","","26.77"
"scd41","1712242805000","1171","","41.49","","26.75"
"scd41","1712242825000","1170","","41.44","","26.77"
"scd41","1712242845000","1170","","41.48","","26.75"
"scd41","1712242865000","1171","","41.45","","26.78"
"scd41","1712242885000","1173","","41.47","","26.79"
"scd41","1712242905000","1175","","41.42","","26.76"
"scd41","1712242925000","1176","","41.39","","26.78"
"scd41","1712242945000","1176","","41.4","","26.77"
"scd41","1712242965000","1176","","41.4","","26.79"
"scd41","1712242985000","1175","","41.4","","26.8"
"scd41","1712243005000","1174","","41.38","","26.78"
"scd41","1712243025000","1175","","41.39","","26.77"
"scd41","1712243045000","1175","","41.37","","26.78"
"scd41","1712243065000","1175","","41.31","","26.77"
"scd41","1712243085000","1174","","41.33","","26.77"
"scd41","1712243105000","1174","","41.42","","26.78"
"scd41","1712243125000","1175","","41.52","","26.77"
"scd41","1712243145000","1174","","41.42","","26.79"
"scd41","1712243165000","1173","","41.42","","26.77"
"scd41","1712243185000","1175","","41.43","","26.78"
"scd41","1712243205000","1174","","41.39","","26.77"
"scd41","1712243225000","1174","","41.47","","26.79"
"scd41","1712243245000","1175","","41.35","","26.79"
"scd41","1712243265000","1173","","41.33","","26.8"
"scd41","1712243285000","1175","","41.3","","26.8"
"scd41","1712243305000","1174","","41.31","","26.79"
"scd41","1712243325000","1173","","41.3","","26.8"
"scd41","1712243345000","1173","","41.21","","26.8"
"scd41","1712243365000","1173","","41.23","","26.81"
"scd41","1712243385000","1172","","41.25","","26.8"
"scd41","1712243405000","1171","","41.24","","26.81"
"scd41","1712243425000","1170","","41.18","","26.79"
"scd41","1712243445000","1171","","41.18","","26.8"
"scd41","1712243465000","1172","","41.15","","26.81"
"scd41","1712243485000","1170","","41.25","","26.8"
"scd41","1712243505000","1170","","41.21","","26.8"
"scd41","1712243525000","1172","","41.23","","26.8"
"scd41","1712243545000","1172","","41.25","","26.8"